,"Variable Name","hhid","hhid_endline","schoolunitid","schoolid","type_unit","group","benef","region","province","prenom_enf_test","id_enf_test","num_menage","t1","t2_1","t2_2","t3_1","t3_2","t4_1","t4_2","t5_rep1","t5_rep2","t5_1","t5_2","t6_rep","t6"
,"Classification","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sub-Group","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group Type","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Description","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Variable","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Format Type","str7","str8","str4","str30","str23","byte","str6","str30","str20","str21","byte","byte","float","float","str57","float","float","float","float","float","float","float","float","float","float"
,"Decimal","","","","","","","","","","","","","0","0","","0","0","0","0","0","0","0","0","7","0"
,"Interval","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","","","TEXT","","","","","","","","","",""
,"Dataset Label","Baseline Household ID","Endline household ID","Id of School Unit","Id of School","school unit type","group: 0=control, 1=unconditionnal, 2=teachers, 3=inspectors, 4=machines","beneficiary type","region","province names"," Child's First name","child's ID","Household number","Has the child done the test?","If not done reason","If other specify","Digit recognition: Result","Digit recognition: Number of correct answers","Number recognition: Result","Number recognition: Number of correct answers","Subtraction: answer to subtraction 1","Subtraction: answer to subtraction 2","Subtraction: Result","Subtraction: Number of correct answers","Division: answer","Division: Result"
,"Imputed?","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
,"Unit of Analysis","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Question Information","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. ID","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. Text","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Valid Ranges","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","text","text","text","text","text","","text","text","text","text","","","","","text","","","","","","","","","",""
,"Min","","","","","","0","","","","","2","1","1","1","","1","0","1","0","0","0","1","0","0","0"
,"Max","","","","","","4","","","","","17","11","2","4","","2","5","2","5","7210","9930","2","2","9101010","2"
,"","","","","","","","","","","","","","1 = 1 Yes, 2 = 2 No","1 = 1 Child was not present in the household, 2 = 2 Refused to answer, 3 = 3 Child does not exist/unknown, 4 = 4 Other","","1 = 1: 4 out of 5 corrects, 2 = 2: at least 2 incorrect answers","","1 = 1: 4 out of 5 corrects, 2 = 2: at least 2 incorrect answers","","","","1 = 1: 2 correct answers, 2 = 2: at least 1 incorrect answers","","","1 = 1: division correct, 2 = 2: division incorrect"
,"Universe","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Invalid Ranges","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Min","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Max","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Key","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sum Statistics","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total Responses","4832","4385","4832","4832","4832","4832","3932","4832","4832","4832","4682","4832","4510","1143","389","3322","3329","3318","3329","2554","2478","3300","3329","1315","3329"
,"Mean","","","","","","1.921151","","","","","5.248185","4.438742","1.261863","2.210849","","1.01174","4.925203","1.051838","4.75368","36.09789","42.65254","1.557273",".8678282","10803.08","1.612196"
,"Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Stdev. ","","","","","","1.383206","","","","","1.832649","2.280381",".439697","1.371522","",".1077292",".5060854",".2217342",".9595198","170.0231","210.5235",".4967843",".9302354","261057.1",".5048874"
,"Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Text","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Derivation","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Deriv. Des.","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","",""
