,"Variable Name","stud_id","last_date_cor","ab_manq"
,"Classification","","",""
,"Group","","",""
,"Sub-Group","","",""
,"Group Type","","",""
,"Description","","",""
,"Weight","","",""
,"Weight Variable","","",""
,"Format Type","str9","str7","byte"
,"Decimal","","",""
,"Interval","TEXT","TEXT","DISCRETE"
,"Dataset Label","Student Unique ID","Correction to dropout date","If enrolled in V6 and dropped out before, number of month missed"
,"Imputed?","no","no","no"
,"Unit of Analysis","","",""
,"Question Information","","",""
,"Ques. ID","","",""
,"Ques. Text","","",""
,"Valid Ranges","","",""
,"Unit","text","text",""
,"Min","","","1"
,"Max","","","9"
,"","","",""
,"Universe","","",""
,"Notes","","",""
,"Invalid Ranges","","",""
,"Unit","","",""
,"Min","","",""
,"Max","","",""
,"Key","","",""
,"Notes","","",""
,"Sum Statistics","","",""
,"Total Responses","787","787","29"
,"Mean","","","7.896552"
,"Weighted Mean","","",""
,"Weight Var. to Calculate Weighted Mean","","",""
,"Stdev. ","","","2.225579"
,"Weighted Stdev.","","",""
,"Weight Var. to Calculate Weighted Stdev.","","",""
,"Text","","",""
,"Derivation","","",""
,"Deriv. Des.","","",""
,"Notes","","",""
